"FRECUENCIA","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL"
"FEB 2024",1281876853433.93,561929093405.10,397470101513.10,164458991892.00,140164776183.00,35554376000.42,93471214674.24,8923921093.92,2215264414.38,1638664855.66,2332837040.38,18263183507.69,557548298442.10
"MAR 2024",1297168518433.91,566942933970.10,399083751513.10,167859182457.00,140193409183.30,35871830000.42,94102487674.24,8101335094.25,2117756414.38,1757908117.00,2540914941.72,23077853507.69,562655498714.10
"ABR 2024",1288693868433.86,566170875408.60,392889751513.10,173281123895.50,138698196265.40,32810136000.42,94757621756.57,8933964094.04,2196474414.38,2133879381.35,2668458555.72,23273272507.69,555749186315.10
"MAY 2024",1281174233433.89,565519884073.00,390848751513.10,174671132559.90,137544420679.80,31503518000.42,95115494170.91,8930435094.14,1994973414.38,2202468957.43,2731162823.97,22509443507.69,550666853392.00
"JUN 2024",1304168001433.92,568036104630.10,391778251513.10,176257853117.00,138106030741.20,31716814000.42,95696603505.84,8617452820.56,2075160414.38,1742492138.99,2796497472.94,23939713507.69,569547162943.00
"JUL 2024",1300677698433.92,562841355442.10,386212351513.10,176629003929.00,136760755077.60,30380633000.42,95693450843.24,8634718819.59,2051952414.38,1818790856.66,2752046004.07,23003230507.69,573501520545.80
"AGO 2024",1308694010433.88,563554733627.10,386470506513.10,177084227114.00,136922886707.60,30756144000.42,95771033473.24,8345765819.59,2049943414.38,1853218923.32,2800673948.27,25098576507.69,578463920719.90
"SEP 2024",1322407166433.88,564956360740.10,386960656513.10,177995704227.00,137064532807.60,30755072000.42,95875510573.24,8390814819.59,2043135414.38,1813336589.99,2855076058.40,25893627507.69,589824232730.10
"OCT 2024",1313166955433.92,558807772011.10,379095731513.10,179712040498.00,132607200228.30,26432978000.42,95457499993.91,8645008819.59,2071713414.38,1922133256.66,2814948518.77,25204908507.69,591809992911.40
"NOV 2024",1310373655433.99,557036326201.10,376095231513.10,180941094688.00,131913024909.00,26376135000.42,95029574674.57,8434498819.59,2072816414.38,1939553923.32,2920092321.09,25347609207.18,591217048872.30
"DIC 2024",1312820633433.89,558284673577.10,376352231513.10,181932442064.00,134973833302.30,28284729000.42,96022465341.24,8547779819.59,2118859141.07,1844358589.99,2994210346.82,25653778207.18,589069779410.50
"ENE 2025",1320435640433.91,553773699240.10,367796031513.10,185977667727.00,133573911136.50,27270367000.42,95845022174.57,8286268820.44,2172253141.07,1816656589.99,3035564768.24,25158710207.18,603077098491.90
"FEB 2025",1335284129433.91,556738773564.10,368173031513.10,188565742051.00,134763459733.50,27840534000.42,96469933771.91,8341244820.14,2111747141.07,1871340693.53,3084588501.50,26530548207.18,612295418734.10
"MAR 2025",1356019989433.93,564105165640.10,368458905000.10,195646260640.00,137359266067.10,29179996000.42,97611147105.24,8391194820.37,2176928141.07,1879374693.53,3166350812.52,27156792207.18,622353040013.50
"ABR 2025",1350289549433.96,555120445808.10,358149105000.10,196971340808.00,133358522937.30,26657761000.42,96651496976.03,8123371819.73,1925893141.07,1936513183.53,3130021670.45,26212566207.18,630531479627.40
"MAY 2025",1344241252433.96,550956111890.10,355889065000.10,195067046890.00,131296040030.20,25302588000.42,96390161209.37,7954012820.37,1649278000.00,2071886538.53,3023345899.55,25683723207.18,631210144868.40
"JUN 2025",1368954690433.91,550087701338.10,355873065000.10,194214636338.00,134177633151.80,26869490000.42,97494943190.70,8099970819.59,1713229141.07,1912087438.53,3103591020.50,27998673207.18,651675004277.80
"JUL 2025",1359095826433.90,539767943503.10,345768265000.10,193999678503.00,130477714550.70,26230968000.42,94633913601.70,7902571807.49,1710261141.07,1800915438.53,3077414060.71,27445442945.06,656526395935.80
"AGO 2025",1364084419433.89,540551710044.10,345751765000.10,194799945044.00,131327974976.60,26660356000.42,95002435120.70,7944275807.06,1720908048.41,1928181248.20,3153332375.63,28900288945.06,658222931844.30
"SEP 2025",1376158625433.98,544540176508.10,345723255000.10,198816921508.00,132581183371.70,27333371000.42,95756746422.70,7809772807.49,1681293141.07,1995654022.25,3231903433.47,29408914945.06,664400793153.40
"OCT 2025",1359565573433.96,531174951501.10,334884255000.10,196290696501.00,129565330923.60,24698597000.42,95578159115.70,7652366807.49,1636208000.00,1959268172.25,3189376917.45,28776056945.06,664900588974.50
"NOV 2025",1370296614433.86,531538339661.10,334826255000.10,196712084661.00,128631516239.20,25688636000.42,93374966577.33,7878162661.49,1689751000.00,1930241472.25,3278658893.25,30016637945.06,674901220223.00
"FUENTE","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España"
"NOTAS","","","","","","","","","","","","",""
