MAY 2021,78446773000.00,12195002747.00,920000000.00,11275002747.00,5821692621.00,3242829055.00,477628000.00,2101235566.00,0.00,3558000.00,21812000.00,568700000.00,59836007632.00
JUN 2021,77822120000.00,11690862437.00,895000000.00,10795862437.00,5111210124.00,2712727926.00,348807000.00,2049675198.00,0.00,2519000.00,22707000.00,452700000.00,60542121439.00
JUL 2021,76998560000.00,12976969000.00,945000000.00,12031969000.00,5526200025.00,2977821381.00,364477223.00,2183901421.00,0.00,3547000.00,19148000.00,561800000.00,57910895975.00
AGO 2021,76247434000.00,10786990000.00,1055000000.00,9731990000.00,5597634156.00,3046196396.00,364342136.00,2187095624.00,0.00,3547000.00,17765000.00,585500000.00,59255997844.00
SEP 2021,76253680000.00,10161629000.00,1265000000.00,8896629000.00,6251862262.00,3153834893.00,423443055.00,2674584314.00,0.00,3568000.00,20143000.00,590900000.00,59225577738.00
OCT 2021,77227548000.00,11630694458.00,1607500000.00,10023194458.00,6270348731.00,2963774563.00,473992514.00,2832581654.00,0.00,3547000.00,12852000.00,580300000.00,58729805811.00
NOV 2021,78523830000.00,11668535298.00,2813500000.00,8855035298.00,7303516645.00,4050719555.00,470503309.00,2782293781.00,0.00,4747000.00,18138000.00,569400000.00,58959493057.00
DIC 2021,79409570000.00,12682691890.00,4613500000.00,8069191890.00,8718537535.00,4325936000.00,1251978000.00,3140623535.00,0.00,3858000.00,16622000.00,1027577000.00,56960283575.00
ENE 2022,79360146000.00,14712405865.00,6210500000.00,8501905865.00,8352737045.00,3956102000.00,1024273000.00,3372362045.00,0.00,2830000.00,16229000.00,723943000.00,55552001090.00
FEB 2022,80129786000.00,14318690200.00,6855500000.00,7463190200.00,8401306834.00,4152019000.00,1115343000.00,3133944834.00,0.00,312000.00,16037000.00,1045622000.00,56347817966.00
MAR 2022,79174412000.00,13744242001.00,6940500000.00,6803742001.00,8789528616.00,4029289000.00,1365103000.00,3395136616.00,0.00,3556000.00,14991000.00,1055319000.00,55566775383.00
ABR 2022,78186870000.00,16211743000.00,6985500000.00,9226243000.00,8702888000.00,3904366000.00,1192142000.00,3606380000.00,0.00,3556000.00,14204000.00,1153404000.00,52101075000.00
MAY 2022,77233751000.00,18437807000.00,6740500000.00,11697307000.00,8583696788.00,3629256000.00,1294092000.00,3644348788.00,16000000.00,5083000.00,16983000.00,1606915000.00,48583266212.00
JUN 2022,76799490000.00,19004332193.00,6510500000.00,12493832193.00,8648022000.00,3860842000.00,1278894000.00,3492286000.00,16000000.00,6705000.00,19159000.00,1367400000.00,47753871807.00
JUL 2022,77245652000.00,19838324034.00,7326500000.00,12511824034.00,8942587000.00,4271010000.00,1197310000.00,3452267000.00,22000000.00,46290000.00,25321000.00,1357055000.00,47036074966.00
AGO 2022,77075690000.00,19823021564.00,6480500000.00,13342521564.00,8495707000.00,4287274000.00,992369000.00,3190064000.00,26000000.00,46434000.00,35264000.00,1425855000.00,47249408436.00
SEP 2022,76859497000.00,18731255944.00,5678000000.00,13053255944.00,9692200000.00,4289605000.00,2145575000.00,3215920000.00,41100000.00,190357000.00,99206000.00,1695806000.00,46450672056.00
OCT 2022,75864061000.00,18654185984.00,5048000000.00,13606185984.00,9846027000.00,4100085000.00,2592167000.00,3086475000.00,67300000.00,467914000.00,320621000.00,2024063000.00,44551250016.00
